stock_date,,,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2/26/24,05:00:00+00:00,9,1,1,,,,,,,,,
2/27/24,05:00:00+00:00,9,1,1,1,,,,,,,,
2/28/24,05:00:00+00:00,9,1,1,1,1,1,1,,,,,
2/29/24,05:00:00+00:00,9,1,1,1,1,1,1,1,1,1,1,
3/1/24,05:00:00+00:00,9,1,1,1,1,1,1,1,1,1,1,1
3/4/24,05:00:00+00:00,10,1,1,1,1,1,1,,,,,
3/5/24,05:00:00+00:00,10,1,1,,,,,,,,,
3/6/24,05:00:00+00:00,10,1,1,1,1,1,1,1,1,,,
3/7/24,05:00:00+00:00,10,1,1,1,1,1,1,1,1,1,1,1
3/8/24,05:00:00+00:00,10,1,1,1,1,1,1,1,1,1,1,1
3/11/24,04:00:00+00:00,11,1,1,1,1,1,1,,,,,
3/12/24,04:00:00+00:00,11,1,1,1,1,1,1,1,1,1,1,1
3/13/24,04:00:00+00:00,11,1,1,1,,,,,,,,
3/14/24,04:00:00+00:00,11,1,1,1,1,1,,,,,,
3/15/24,04:00:00+00:00,11,1,1,,,,,,,,,
3/18/24,04:00:00+00:00,12,1,1,1,1,1,1,1,1,1,1,
3/19/24,04:00:00+00:00,12,1,1,1,1,1,1,1,1,1,1,1
3/20/24,04:00:00+00:00,12,1,1,1,1,1,1,1,1,1,1,1
3/21/24,04:00:00+00:00,12,1,1,1,,,,,,,,
3/22/24,04:00:00+00:00,12,1,1,,,,,,,,,
3/25/24,04:00:00+00:00,13,1,1,1,1,1,1,,,,,
3/26/24,04:00:00+00:00,13,1,1,,,,,,,,,
3/27/24,04:00:00+00:00,13,1,1,1,1,1,1,1,1,1,,
3/28/24,04:00:00+00:00,13,1,1,1,,,,,,,,
4/1/24,04:00:00+00:00,14,1,1,1,,,,,,,,
4/2/24,04:00:00+00:00,14,1,1,1,,,,,,,,
4/3/24,04:00:00+00:00,14,1,1,1,1,1,1,1,1,1,1,1
4/4/24,04:00:00+00:00,14,1,1,,,,,,,,,
4/5/24,04:00:00+00:00,14,1,1,1,1,1,1,1,1,1,1,1
4/8/24,04:00:00+00:00,15,1,1,1,,,,,,,,
4/9/24,04:00:00+00:00,15,1,1,,,,,,,,,
4/10/24,04:00:00+00:00,15,1,1,1,1,1,1,1,1,1,1,1
4/11/24,04:00:00+00:00,15,1,1,1,1,1,1,1,1,1,1,1
4/12/24,04:00:00+00:00,15,1,1,1,1,1,1,1,1,1,1,1
4/15/24,04:00:00+00:00,16,1,1,1,1,,,,,,,
4/16/24,04:00:00+00:00,16,1,1,1,1,1,1,1,1,1,1,
4/17/24,04:00:00+00:00,16,1,1,1,1,1,1,,,,,
4/18/24,04:00:00+00:00,16,1,1,1,1,1,1,1,1,1,1,1
4/19/24,04:00:00+00:00,16,1,1,1,1,1,1,1,1,1,1,1
4/22/24,04:00:00+00:00,17,1,1,1,1,1,1,1,1,1,1,1
4/23/24,04:00:00+00:00,17,1,1,1,1,1,1,1,1,1,1,1
4/24/24,04:00:00+00:00,17,1,1,1,1,1,1,1,1,1,,
4/25/24,04:00:00+00:00,17,1,1,1,1,1,1,1,1,1,1,1
4/26/24,04:00:00+00:00,17,1,1,1,1,1,1,1,1,1,1,1
4/29/24,04:00:00+00:00,18,1,1,1,,,,,,,,
4/30/24,04:00:00+00:00,18,1,1,1,1,1,1,1,1,1,1,
5/1/24,04:00:00+00:00,18,1,1,1,1,1,1,1,1,1,1,1
5/2/24,04:00:00+00:00,18,1,1,1,1,1,1,1,1,,,
5/3/24,04:00:00+00:00,18,1,1,1,1,1,1,1,1,1,1,
5/6/24,04:00:00+00:00,19,1,1,1,1,1,1,1,1,1,1,1
5/7/24,04:00:00+00:00,19,1,1,1,,,,,,,,
5/8/24,04:00:00+00:00,19,1,1,1,1,1,1,1,1,1,1,1
5/9/24,04:00:00+00:00,19,1,1,1,1,1,1,1,1,1,1,1
5/10/24,04:00:00+00:00,19,1,1,1,1,1,1,,,,,
5/13/24,04:00:00+00:00,20,1,1,1,,,,,,,,
5/14/24,04:00:00+00:00,20,1,1,1,1,1,1,1,1,1,1,
5/15/24,04:00:00+00:00,20,1,1,1,1,1,1,1,1,1,1,1
5/16/24,04:00:00+00:00,20,1,1,1,1,1,1,1,1,1,1,
5/17/24,04:00:00+00:00,20,1,1,1,1,,,,,,,
5/20/24,04:00:00+00:00,21,1,1,1,1,1,1,1,1,1,1,
5/21/24,04:00:00+00:00,21,1,1,1,1,1,1,1,1,1,1,1
5/22/24,04:00:00+00:00,21,1,1,1,1,1,1,1,1,1,1,
5/23/24,04:00:00+00:00,21,1,1,1,1,1,,,,,,
5/24/24,04:00:00+00:00,21,1,1,1,1,1,1,1,1,1,1,1
5/28/24,04:00:00+00:00,22,1,1,,,,,,,,,
5/29/24,04:00:00+00:00,22,1,1,1,1,1,1,1,1,1,1,
5/30/24,04:00:00+00:00,22,1,1,1,,,,,,,,
5/31/24,04:00:00+00:00,22,1,1,1,1,1,1,1,1,1,1,1
6/3/24,04:00:00+00:00,23,1,1,,,,,,,,,
6/4/24,04:00:00+00:00,23,1,1,1,1,1,1,1,1,1,1,1
6/5/24,04:00:00+00:00,23,1,1,1,1,1,1,1,1,1,1,1
6/6/24,04:00:00+00:00,23,1,1,1,1,1,1,,,,,
6/7/24,04:00:00+00:00,23,1,1,1,1,1,1,1,1,1,1,1
6/10/24,04:00:00+00:00,24,1,1,1,1,1,1,1,1,1,1,1
