stock_date,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_0_8,is_high_gt_0_9,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2024-04-03 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-04 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-04-05 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-08 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-04-09 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-04-10 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-11 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-12 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
2024-04-15 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-04-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
2024-04-17 04:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-04-18 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-04-19 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2024-04-22 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-23 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-24 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-04-25 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-26 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-04-29 04:00:00+00:00,1.0,,,,,,,,,,,,
